trial_number,state,value,datetime_start,datetime_complete,duration,param_vae_lr,param_policy_lr,param_vae_beta,param_vae_update_freq,param_seq_len,param_episodes_per_task,param_batch_size,param_vae_batch_size,param_ppo_epochs,param_entropy_coef
107,COMPLETE,14.59923398337316,2025-08-15 04:19:13.601946,2025-08-15 14:33:22.963341,36849.361395,0.0022636210943517226,0.0009656892649524299,0.014860288647023497,1,120,3,8192,512,8,0.010691849425757464
108,COMPLETE,15.462632383300807,2025-08-15 06:10:05.576633,2025-08-15 06:41:29.154756,1883.578123,0.002831545696381671,0.001438530707833743,0.014321967343599562,1,120,3,8192,1024,8,0.010660969375811184
109,COMPLETE,25.655099882959732,2025-08-15 06:18:29.358212,2025-08-15 06:45:17.445400,1608.087188,0.0012815253734437776,0.002237548564804331,0.011422711112193751,1,90,3,8192,1024,8,0.0013852221188921554
110,COMPLETE,17.701407962892844,2025-08-15 06:41:29.593025,2025-08-15 07:06:57.751524,1528.158499,0.0012872724443643848,0.002254090758709243,0.011529759961028247,5,90,3,4096,1024,4,0.0013435735175926905
111,COMPLETE,12.444743272163905,2025-08-15 06:45:17.876348,2025-08-15 06:51:39.031801,381.155453,0.002301240295166883,0.001247820346453061,0.0028286867621342016,5,30,3,4096,1024,4,0.005371784963328011
112,PRUNED,3.2485808683838697,2025-08-15 06:51:39.508609,2025-08-15 07:01:07.675644,568.167035,0.0020064785996958268,0.001950247563430947,0.004819184531102826,5,60,8,8192,1024,8,0.002064100481708411
113,PRUNED,8.291431711882177,2025-08-15 07:01:08.074720,2025-08-15 07:23:43.192151,1355.117431,0.0011376551797394662,0.0018132770907087425,0.014690887787880708,5,120,3,8192,1024,8,0.0012982236888638863
114,COMPLETE,13.879535188015835,2025-08-15 07:06:58.183756,2025-08-15 07:40:48.921707,2030.737951,0.0025325796720620216,0.001828218213009903,0.015358153932449397,5,120,3,8192,1024,8,0.0016871379748770298
115,PRUNED,7.95597107312904,2025-08-15 07:23:43.746919,2025-08-15 07:45:55.418612,1331.671693,0.002484907012773418,0.0025619678356795855,0.007938662094178917,1,90,3,8192,1024,8,0.0016600539291243398
116,COMPLETE,18.47252917496953,2025-08-15 07:40:49.304978,2025-08-15 08:03:09.431758,1340.12678,0.0012022042116579543,0.0021709833120760794,0.00841769742892825,1,90,3,8192,1024,8,0.0014292775968766565
117,COMPLETE,12.907656908514474,2025-08-15 07:45:55.916700,2025-08-15 08:13:11.539115,1635.622415,0.0013400169984615555,0.00220578841284816,0.005630646660749589,1,90,3,8192,1024,8,0.0011262811415119168
118,COMPLETE,13.333366826868714,2025-08-15 08:03:09.883387,2025-08-15 08:22:57.934375,1188.050988,0.0013402210074138167,0.002046706887357935,0.005688995933094607,1,90,3,8192,1024,8,0.0011248523706204002
119,COMPLETE,18.041938662430038,2025-08-15 08:13:12.185444,2025-08-15 15:22:37.698201,25765.512757,0.0012563613161153569,0.002085899368085178,0.01123255389748178,1,90,3,8192,256,8,0.0015048070732811387
